Name,Price,Categories,Vibes,Image,Description,Price with Tax
Planters Flamin' Hot Peanuts.png,1.49,SALTY|SPICY|SAVORY,SASSY|WILD,assets/flamin_hot_peanuts.png,SPICY. *clap* \\nCHEAP. *clap* \\nYES. *clap*,1.55
Planters Salted Cashews,2.19,SALTY|SAVORY,HEALTHY|ELEGANT,assets/salted_cashews.png,You're the coolest gas station vegan I know.,2.27
Welches Strawberry Fruit 'n Yogurt Snacks,3.49,SWEET,CHEEKY|WILD,assets/strawberry_fruit_n_yogurt.png,The closest you can get to doing recreational drugs at work.,3.62
Brown Sugar Pop Tarts ,1.89,SWEET,HYPER|NAUGHTY|DESPERATE,assets/brown_sugar_pop_tarts.png,"""… you know there's a strawberry one right there, right?""",1.96
Strawberry Pop Tarts ,1.89,SWEET,HYPER|NAUGHTY,assets/strawberry_pop_tarts.png,"""Cheat day, eh? How many times is that this week?""",1.96
Rice Krispies Treats,1.89,SWEET,NOSTALGIC|SELF-REFLECTIVE,assets/rice_krispies_treats.png,*Oh no!* Mommy forgot to pack your lunch!,1.96
Oatmeal Crème Pie,1.99,,,,,2.07
Nutty Buddy,1.99,,,,,2.07
Strawberry Vanilla Croissant,2.39,SWEET|SAVORY,DESPERATE|BRAVE,assets/strawberry_vanilla_croissant.png,*inhales* It has a certain... Je ne sais qu- *gags*.,2.48
Tostitos Meduim Salsa,1.49,,,,,1.55
Tostitos Meduim Nacho Cheese Dip,2.09,SAVORY|SALTY,RAVENOUS|TRASHY,assets/nacho_cheese_dip.png,Please tell me you're buying  chips with this.,2.17
Sunbelt Bakery Fudge Dipped Chocolate Chip Granola Bar,1.59,SWEET,BASIC|DESPERATE,assets/sunbelt_bar.png,"So you're here with under $2 and still looking for a ~chocolate~ fix? *Sorry pal*, this is it.",1.65
Cinnamon Toast Crunch Treat,2.59,SALTY|SWEET,ELEGANT|TRASHY,assets/cinnamon_toast_treat.png,Rice Krispies should have seen this coming. Game over.,2.69
Chocolate Cupcakes,2.29,,,,,2.38
Chicken Cup Noodles ,1.69,,,,,1.75
Pringles Original,2.29,,,,,2.38
Wrigleys Extra Polar Ice Gum,2.09,SWEET|MINTY,CHIC|FRESH|CRUEL,assets/extra_polar_ice_gum.png,*SMACK. SMACK. SMACK. SMACK. SMACK.* ,2.17
Jack Links Zero Sugar Beef Stick,2.19,,,,,2.27
Mini Donuts Chocolate,2.69,,,,,2.79
Mini Donuts Powdered,2.69,,,,,2.79
Lays Classic,1.69,,,,,1.75
Lays Sour Cream and Onion ,1.69,,,,,1.75
Fritos,1.69,,,,,1.75
Sun Chips Garden Salsa,1.69,,,,,1.75
Lays Baked BBQ,1.69,,,,,1.75
Lays Baked Classic,1.69,,,,,1.75
Doritos Nacho Cheese,1.69,,,,,1.75
Doritos Cool Ranch,1.69,,,,,1.75
Doritos Spicy Sweet Chili,1.69,,,,,1.75
Cheetos Crunchy,1.69,,,,,1.75
Cheetos Flamin' Hot,1.69,SPICY|SAVORY|SALTY,SASSY|VENGEFUL,assets/hot_cheetos.png,Pairs well with your grubby keyboard.,1.75
Miss Vickie's Spicy Dill Pickle Chips,1.69,SPICY|SAVORY|SALTY|SOUR,BRAVE|COSMOPOLITAN,assets/spicy_dill_pickle_chips.png,With chips like this idk how she's single!,1.75
Ruffles Cheddar & Sour Cream,1.69,,,,,1.75
Tostitos Crispy Rounds,2.19,,,,,2.27
Deep River Zesty Jalapeno Kettle,2.09,,,,,2.17
Jalapeno Poppers,1.69,,,,,1.75
Cheez-It,1.89,,,,,1.96
Ritz Bits Cheese,1.89,,,,,1.96
Chips Ahoy Minis,1.99,,,,,2.07
Grandmas Mini Vanilla Crème,1.99,,,,,2.07
Snyders Mini Pretzles,1.69,SALTY,DESPERATE|HEALTHY,assets/mini_pretzels.png,As affordable as they are bland. Self-burn! Those are rare.,1.75
Alani Nu Cherry Slush Energy,3.59,,,,,3.73
Celsius Cosmic Vibe,3.59,,,,,3.73
Celsius Sparkling Peach,3.59,,,,,3.73
Celsius Sparkling Kiwi,3.59,,,,,3.73
Red Bull Sugar Free,3.59,,,,,3.73
Red Bull Red Edition Watermelon,3.59,,,,,3.73
Red Bull Energy Drink,3.59,,,,,3.73
Rockstar Energy Recovery Edition,3.59,,,,,3.73
Rockstar Punched Fruit Punch,3.59,,,,,3.73
Mountain Dew Kickstart Black Cherry,2.79,,,,,2.9
Monster Energy Zero Ultra,3.59,,,,,3.73
Monster Energy Ultra Strawberry Dreams,3.59,,,,,3.73
Monster Energy,3.59,,,,,3.73
Starbucks Double Shot Mocha,3.59,,,,,3.73
Starbucks Frappuccino Vanilla,3.59,,,,,3.73
Diet Pepsi ,2.29,,,,,2.38
Pepsi,2.29,,,,,2.38
Diet Mountain Dew,2.29,,,,,2.38
Mountain Dew ,2.29,,,,,2.38
Mountain Dew Code Red,2.29,,,,,2.38
Dr. Pepper Zero Sugar,2.29,,,,,2.38
Diet Dr. Pepper,2.29,,,,,2.38
Dr. Pepper ,2.29,,,,,2.38
Diet Coke,2.29,,,,,2.38
Coca Cola Zero Sugar,2.29,,,,,2.38
Cocal Cola Classic,2.29,,,,,2.38
Sprite,2.29,,,,,2.38
Fanta Orange,2.29,,,,,2.38
Gold Peak Unsweetened Iced Tea,2.69,,,,,2.79
Gold Peak Sweetened Iced Tea,2.69,,,,,2.79
Propel Zero Berry,2.39,,,,,2.48
Bubly Lime Sparkling Water,1.29,,,,,1.34
Aquafina,1.89,,,,,1.96
Dasani Water,1.89,,,,,1.96
Smart Water,2.39,,,,,2.48
Life Wtr Purified Water ph Balanced,2.39,,,,,2.48
Gatorade Zero Glacier Cherry,2.39,,,,,2.48
Gatorade Cool Blue,2.39,,,,,2.48
Gatorade Fruit Punch,2.39,,,,,2.48
RxBar Strawberry Peanut Butter Energy Bites,3.49,,,,,3.62
Barebells Caramel Cashew Bar,3.99,,,,,4.14
Barebells,,,,,,
Barebells,,,,,,
